"","focal","seeds","APOAND","CERGLO","CIRSIUM","CLAPUR","COLLIN","COLLOM","D","DAUCAR","EPIDEN","ERILAN","F","G","GALIUM","GERANIUM","GILCAP","HYPERNICUM","LACTUCA","LATHVIC","LEUVUL","LUPBIC","MYOSOTIS","NAVSQU","PLAFIG","PLECON","SHEARV","TRIFOLIUM","VERARV","Z"
"169","NAVSQU",1,"2","0","0","2","3","6","0","6","9","0","0","0","1","0","2","0","0","2","0","0","0","15","0","0","5","0","0","0"
"170","NAVSQU",1,"2","0","0","1","1","0","0","0","1","0","0","0","5","0","1","0","1","2","0","0","3","3","0","0","4","1","0","0"
"171","NAVSQU",1,"1","0","0","2","0","1","0","0","0","0","0","0","7","0","1","0","0","5","0","0","3","5","0","0","12","1","0","0"
"172","NAVSQU",1,"1","1","0","2","2","6","0","0","3","0","0","0","2","0","4","0","0","1","0","0","0","5","2","0","6","1","0","0"
"173","NAVSQU",6,"0","3","0","6","0","6","0","1","5","1","0","0","5","0","3","0","0","4","0","0","6","5","0","0","8","0","0","0"
"174","NAVSQU",1,"1","1","0","1","0","1","0","0","2","1","0","0","5","0","0","0","0","2","0","0","1","6","1","0","18","0","0","0"
"175","NAVSQU",3,"0","1","0","3","0","2","0","0","1","0","0","0","1","0","1","0","0","1","0","0","0","7","0","0","3","0","0","0"
"176","NAVSQU",1,"0","0","0","4","0","0","0","0","0","1","0","1","2","0","0","0","0","0","0","0","1","7","0","0","7","0","0","0"
"177","NAVSQU",1,"0","1","0","7","0","1","0","0","6","0","0","0","2","0","3","0","0","1","0","0","2","16","0","0","7","0","0","0"
"178","PLAFIG",32,"0","0","0","4","0","0","0","0","4","0","0","0","2","0","5","0","0","4","0","0","3","18","2","0","2","0","0","0"
"179","PLAFIG",26,"0","0","0","3","0","1","0","0","0","0","0","0","2","0","2","0","0","2","0","0","0","2","1","0","0","0","0","0"
"180","PLAFIG",25,"0","0","0","3","2","0","0","2","3","0","0","0","2","0","5","0","0","0","0","0","0","25","3","1","0","0","0","0"
"181","PLAFIG",12,"1","0","0","3","0","0","0","0","2","0","0","0","2","0","4","1","0","0","0","0","0","20","1","0","0","0","0","0"
"182","PLAFIG",28,"2","0","0","2","1","1","0","0","9","0","0","0","1","0","6","0","0","2","0","0","0","25","2","0","0","0","0","0"
"183","PLAFIG",38,"0","0","0","0","1","4","0","0","7","0","0","0","2","0","5","0","0","0","0","0","0","9","5","0","2","0","0","0"
"184","PLAFIG",39,"0","0","0","1","4","3","0","0","3","0","0","0","1","0","4","0","0","1","0","0","0","9","1","0","2","3","0","0"
"185","PLAFIG",4,"0","0","0","5","4","7","0","0","9","0","0","0","4","0","5","0","0","0","0","0","0","14","3","1","0","0","0","0"
"186","PLAFIG",2,"1","0","0","1","5","2","0","0","8","0","0","0","2","1","5","0","0","7","0","0","0","7","3","1","21","1","0","0"
"187","PLAFIG",3,"0","1","0","2","0","9","0","0","2","0","1","0","4","1","1","0","0","3","0","0","0","16","1","0","4","1","0","0"
"188","PLAFIG",5,"0","0","0","4","2","6","0","1","3","0","0","0","8","0","4","0","0","3","0","0","2","10","1","0","3","0","0","0"
"189","PLAFIG",4,"2","0","0","10","2","3","0","0","7","0","0","0","3","0","2","2","0","2","0","0","0","13","2","0","3","0","0","0"
"190","PLAFIG",20,"2","0","0","8","1","10","0","0","6","0","0","0","5","1","3","0","0","3","0","0","5","13","5","0","3","0","0","0"
"191","PLAFIG",4,"2","0","0","8","1","10","0","0","6","0","0","0","5","1","3","0","0","3","0","0","5","13","5","0","3","0","0","0"
"192","PLAFIG",6,"1","0","0","5","1","4","0","1","9","0","0","1","2","0","2","0","0","1","0","0","2","9","2","0","5","0","0","0"
"193","PLECON",3,"1","0","0","1","3","6","0","0","8","0","0","0","1","0","0","0","3","0","0","0","2","8","1","1","2","0","0","0"
"194","PLECON",5,"0","0","0","3","2","0","0","2","3","0","0","0","2","0","5","0","0","0","0","0","0","25","3","1","0","0","0","0"
"195","PLECON",3,"0","0","0","7","1","2","0","0","9","0","0","0","2","0","4","0","0","0","0","0","1","34","4","1","4","0","0","0"
"196","PLECON",0,"0","0","0","0","3","5","0","0","2","1","0","0","2","1","3","0","0","1","0","0","0","11","1","0","2","0","0","0"
"197","PLECON",NA,"0","0","0","3","1","2","0","0","8","0","0","0","2","0","2","0","0","1","0","0","0","18","0","0","0","0","0","0"
"198","PLECON",2,"0","0","0","5","4","7","0","0","9","0","0","0","4","0","5","0","0","0","0","0","0","14","3","1","0","0","0","0"
"199","PLECON",0,"0","0","0","8","0","3","0","0","6","0","0","0","5","1","1","0","0","0","0","0","0","27","0","1","0","0","0","0"
