park,plot,plot,subplot,focal_collect,PLECON,NAVSQU,PLAFIG,EPIDEN,GILCAP,COLLIN,CLAPUR,COLLOM,LACTUCA,MYO,CHICKWEED,VICIA,MADIA,LEUVUL,DAUCUS,LINBIE,PLANTAIN,GERANIUM,GALIUM,SHEARV,CAMAS,CLOVER,J,C,F,G,H,I,VERARV,A,SEDGE,EPICIL,ERILAN,JUNCUS,SCARLET PIMPERNEL,LUPBIC,D,FRLA
BR,DIVERSE,5,B2,,0,1,0,1,4,0,4,1,0,1,0,0,2,0,0,4,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,,,
BR,DIVERSE,5,C2,,0,1,0,4,4,0,7,2,2,0,1,0,3,1,4,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,,,
BR,DIVERSE,5,D2,,0,4,1,4,1,0,12,2,0,2,1,0,2,0,3,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,,,
BR,DIVERSE,5,E2,,0,4,0,2,0,0,7,3,4,1,1,0,2,0,4,2,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,
BR,DIVERSE,5,A3,,0,3,0,5,7,0,1,1,0,1,0,0,0,1,0,4,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,,,
BR,DIVERSE,5,B3,,0,0,0,9,4,0,5,1,2,0,0,0,2,1,2,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,,,
BR,DIVERSE,5,C3,,0,1,0,6,2,4,3,5,2,1,1,0,0,0,3,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,,,
BR,DIVERSE,5,D3,,0,2,1,4,2,0,3,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,,,
BR,DIVERSE,5,E3,,2,2,2,2,0,1,7,4,0,0,0,0,2,1,2,2,2,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,,,
BR,DIVERSE,5,A4,,0,3,0,3,3,0,2,1,1,2,1,0,0,0,2,2,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,,,
BR,DIVERSE,5,B4,,0,0,0,0,3,1,2,0,1,0,0,0,2,1,0,2,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,
BR,DIVERSE,5,C4,,0,0,0,0,0,3,3,3,0,1,0,0,2,0,3,0,1,1,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,,,
BR,DIVERSE,5,D4,,1,1,0,3,0,2,3,1,2,1,0,0,2,0,5,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,,,
BR,DIVERSE,5,E4,,0,1,0,0,0,0,5,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,
BR,DIVERSE,5,A5,,0,8,0,2,5,0,1,1,1,1,1,0,3,1,2,3,0,1,0,0,0,0,0,1,5,0,0,0,0,1,0,0,0,0,0,,,
BR,DIVERSE,5,B5,,0,5,1,9,7,1,6,0,1,0,0,0,2,3,1,5,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,,,
BR,DIVERSE,5,C5,,0,1,0,0,2,0,2,0,0,0,0,0,2,1,3,2,0,2,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,,,
BR,DIVERSE,5,D5,,1,0,0,2,0,3,5,5,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,,,
BR,DIVERSE,5,E5,,0,0,1,3,0,0,4,3,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,
BR,DIVERSE,6,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,6,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,6,C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,6,D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,6,E1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,6,A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,6,B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,6,C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,6,D2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,6,E2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,6,A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,6,B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,6,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,6,D3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,6,E3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,6,A4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,6,B4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,6,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,6,D4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,6,E4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,6,A5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,6,B5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,6,C5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,6,D5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,6,E5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,7,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,7,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,7,C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,7,D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,7,E1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,7,A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,7,B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,7,C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,7,D2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,7,E2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,7,A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,7,B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,7,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,7,D3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,7,E3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,7,A4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,7,B4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,7,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,7,D4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,7,E4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,7,A5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,7,B5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,7,C5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
